D:\Video\fullres\2023-06-06_18-37-54_rot90.mp4	226727	226727	30	transpose=2
D:\Video\fullres\2023-06-06_20-47-38_4x_r90.mp4	317707	544434	60	transpose=2
D:\Video\fullres\2023-06-07_08-34-09_4x_r90.mp4	280205	824639	60	transpose=2
D:\Video\fullres\2023-06-09_r90.mp4	82452	907091	23	transpose=1
D:\Video\fullres\2023-07-26_22-45-14_r90.mp4	1614363	2521454	30	transpose=1
D:\Video\fullres\2023-07-27_13-42-09.mkv_r90.mp4	850157	3371611	30	transpose=1
D:\Video\fullres\2023-08-03_20-15-56_8x_r90.mp4	165813	3537424	60	transpose=1
D:\Video\fullres\2023-08-04_08-32-55_8x_r90.mp4	35975	3573399	60	transpose=1
D:\Video\fullres\2023-08-04_11-52-45_8x_r90.mp4	288256	3861655	60	transpose=1
D:\Video\fullres\2023-08-05_09-14-01_8x_r90.mp4	20225	3881880	60	transpose=1
D:\Video\fullres\2023-08-05_10-44-09_8x_r90.mp4	156734	4038614	60	transpose=1
D:\Video\fullres\2023-08-05_22-20-51_8x_r90.mp4	144498	4183112	60	transpose=1
D:\Video\fullres\2023-08-06_09-03-07_8x_r90.mp4	179275	4362387	60	transpose=1
D:\Video\fullres\2023-08-06_22-19-56_8x_r90.mp4	136811	4499198	60	transpose=1
D:\Video\fullres\2023-08-07_08-28-01.mkv_r90.mp4	613977	5113175	30	transpose=1
D:\Video\fullres\2023-08-07_08-28-01_8x_r90.mp4	76747	5189922	60	transpose=1
D:\Video\fullres\2023-08-07_14-09-11.mkv_r90.mp4	461044	5650966	29	transpose=1
D:\Video\fullres\2023-08-07_18-25-21_r90.mp4	492083	6143049	30	transpose=1
